iter	RMSE
0	1223437.578
1	1149531.161
2	1086174.347
3	1025465.405
4	969688.8473
5	919876.6953
6	875660.5122
7	836713.2616
8	799272.2495
9	766102.1956
10	736997.8765
11	711635.6894
12	687255.4741
13	664837.5425
14	645901.228
15	627175.2585
16	610561.1025
17	594779.908
18	579104.6042
19	565210.46
20	551983.1325
21	539141.843
22	528068.8546
23	518075.5132
24	509323.2143
25	500637.5836
26	492207.5821
27	484916.2834
28	477544.7339
29	470839.3787
30	465237.5184
31	457356.6307
32	451125.1672
33	445659.457
34	438447.6882
35	432036.6651
36	427325.0367
37	422190.0312
38	417882.7923
39	413239.4022
40	409559.43
41	403307.9566
42	400259.2721
43	396463.3212
44	391979.1736
45	389221.4234
46	385893.1308
47	381241.8255
48	378160.8527
49	374159.0153
50	371048.9004
51	368777.7197
52	365909.6625
53	362807.9173
54	359715.3241
55	357863.7498
56	356426.2206
57	353643.9132
58	350610.6398
59	347592.4876
60	345739.9117
61	342556.9646
62	340951.9051
63	337704.1939
64	335872.9575
65	332797.4632
66	330666.001
67	328890.4906
68	327190.145
69	324490.8056
70	322285.3019
71	319911.9923
72	317447.8325
73	315600.766
74	314414.7887
75	313071.7755
76	310665.9747
77	308523.02
78	306949.4438
79	304488.7299
