iter	Passed	Remaining
0	116	6885
1	128	3739
2	145	2762
3	157	2205
4	164	1807
5	173	1561
6	182	1383
7	203	1320
8	219	1244
9	232	1160
10	239	1067
11	248	993
12	254	921
13	267	878
14	275	825
15	282	777
16	289	731
17	297	694
18	304	656
19	315	630
20	323	600
21	332	573
22	338	544
23	346	519
24	352	493
25	358	468
26	366	447
27	372	425
28	380	407
29	392	392
30	401	375
31	412	361
32	420	344
33	429	328
34	435	310
35	448	298
36	459	285
37	465	269
38	475	255
39	482	241
40	491	227
41	497	213
42	512	202
43	528	192
44	546	182
45	560	170
46	576	159
47	593	148
48	606	136
49	614	122
50	624	110
51	637	98
52	645	85
53	657	73
54	667	60
55	674	48
56	685	36
57	692	23
58	701	11
59	707	0
