product_category,product_subcategory,selling_price,cost_price,discount_percent,advertising_cost,shipping_cost,return_rate,product_rating,season,marketing_channel,competition_level,platform,region,state,city,payment_method,demand,revenue,profit
Books,Non-Fiction,259.72,111.01,34.57,33685.72,307.31,2.42,2.94,Republic Day,Social Media,Medium,Amazon,North,Delhi,New Delhi,UPI,1403,238418.52,-388329.42
Beauty & Personal Care,Skincare,2170.08,836.73,8.49,17788.75,297.1,4.73,3.47,Christmas,Organic Search,Medium,Snapdeal,East,West Bengal,Kolkata,COD,1025,2035486.21,838177.94
Sports & Fitness,Gym Equipment,2630.62,1350.68,23.41,19483.1,168.51,6.23,3.24,Regular Season,Affiliate,Medium,Amazon,West,Maharashtra,Mumbai,COD,870,1752868.92,388821.76
Books,Self-Help,156.1,86.17,14.66,10509.84,85.74,4.25,4.55,Republic Day,Email Marketing,Low,Flipkart,East,West Bengal,Kolkata,Credit Card,2052,273358.7,-95527.87
Home & Kitchen,Bedding,3320.78,1742.61,29.35,37807.19,135.37,4.03,2.74,Raksha Bandhan,Email Marketing,High,Flipkart,East,West Bengal,Kolkata,UPI,661,1550792.64,258232.61
Automotive,Car Accessories,3977.07,2743.55,33.36,16544.41,216.44,12.64,4.53,Navratri,Email Marketing,Low,Myntra,North,Delhi,New Delhi,UPI,2576,6827222.9,-1072822.23
Sports & Fitness,Gym Equipment,4473.37,3090.47,18.94,15026.66,266.34,8.91,3.16,Raksha Bandhan,Influencer,Low,Flipkart,West,Maharashtra,Mumbai,Debit Card,937,3397668.56,161689.72
Sports & Fitness,Yoga Mats,4635.38,2509.7,49.88,24611.3,334.08,4.55,3.78,Dussehra,Organic Search,Medium,Amazon,Central,Rajasthan,Jaipur,UPI,1858,4316603.06,-1058914.76
Books,Non-Fiction,437.29,237.7,29.83,16613.28,213.22,5.97,2.98,Republic Day,Affiliate,Low,Amazon,Central,Rajasthan,Jaipur,UPI,1544,473770.83,-254367.5
Fashion,Women's Ethnic Wear,1463.16,659.9,36.6,25717.84,111.06,12.65,4.82,Holi,Influencer,Low,Meesho,West,Maharashtra,Mumbai,Debit Card,4287,3976807.43,526403.0
Home & Kitchen,Storage,2393.06,1490.71,30.95,29685.65,45.26,10.58,4.05,Regular Season,Social Media,Low,Myntra,Central,Rajasthan,Jaipur,UPI,1923,3177580.45,113797.84
