Order_ID,Order_Date,Year,Month,Quarter,Season,Customer_ID,Customer_Gender,Customer_Segment,Region,Country,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount,Shipping_Cost
ORD-000001,1/18/2023,2023,1,Q1,Winter,CUST-02791,Male,New,North America,Mexico,Electronics,Smartphones,Xiaomi 13,520.4,7,0,2.25
ORD-000002,11/13/2023,2023,11,Q4,Fall,CUST-02763,Female,Regular,North America,USA,Books & Media,Books,Thinking Fast and Slow,22.59,2,0.25,4.72
ORD-000003,4/28/2022,2022,4,Q2,Spring,CUST-05729,Male,Regular,North America,Canada,Electronics,Headphones,Bose QC45,241.3,1,0,13.28
ORD-000004,10/22/2021,2021,10,Q4,Fall,CUST-06490,Female,Regular,Asia,Japan,Clothing,Women's Wear,Summer Dress,130.9,5,0,31.11
ORD-000005,8/6/2023,2023,8,Q3,Summer,CUST-07594,Female,Premium,Europe,France,Clothing,Footwear,Adidas Ultraboost,74.51,3,0.2,8.44
ORD-000006,6/25/2021,2021,6,Q2,Summer,CUST-07119,Female,New,Asia,China,Clothing,Footwear,Puma Running Shoes,81.89,8,0.25,56.98
ORD-000007,2/7/2024,2024,2,Q1,Winter,CUST-04126,Female,New,Europe,Germany,Clothing,Men's Wear,Chino Pants,66.82,1,0,6.77
ORD-000008,6/5/2022,2022,6,Q2,Summer,CUST-06895,Female,New,Middle East,Jordan,Electronics,Smartphones,Google Pixel 7,975.79,1,0.5,33.61
ORD-000009,11/5/2022,2022,11,Q4,Fall,CUST-01004,Female,VIP,Europe,France,Books & Media,Books,Deep Work,35.25,2,0.3,36.18
ORD-000010,3/14/2023,2023,3,Q1,Spring,CUST-02051,Female,New,North America,Mexico,Home & Kitchen,Furniture,Bookshelf 5-Tier,110.12,1,0.4,8.53
ORD-000011,8/14/2023,2023,8,Q3,Summer,CUST-01991,Male,Regular,Asia,Japan,Books & Media,Software,Microsoft Office 365,233.65,1,0.05,9.2
ORD-000012,10/23/2022,2022,10,Q4,Fall,CUST-01580,Male,Regular,North America,USA,Electronics,Laptops,ASUS ZenBook,1018.41,2,0,18.58
ORD-000013,4/5/2023,2023,4,Q2,Spring,CUST-06398,Female,Premium,Europe,Italy,Clothing,Footwear,Adidas Ultraboost,158.5,4,0.4,3.52
ORD-000014,6/30/2022,2022,6,Q2,Summer,CUST-02148,Female,Regular,North America,USA,Beauty & Health,Skincare,Vitamin C Serum,14.85,2,0.15,25.71
ORD-000015,7/30/2023,2023,7,Q3,Summer,CUST-04943,Male,Premium,North America,USA,Clothing,Men's Wear,Hoodie Sweatshirt,99.84,1,0.3,24.99
ORD-000016,8/11/2023,2023,8,Q3,Summer,CUST-05744,Male,Premium,Asia,China,Beauty & Health,Skincare,Retinol Night Cream,31.22,1,0.25,28.9
ORD-000017,11/8/2021,2021,11,Q4,Fall,CUST-04307,Male,New,North America,USA,Books & Media,Software,Photo Editing Suite,231.46,7,0.3,13.93
ORD-000018,8/4/2024,2024,8,Q3,Summer,CUST-02955,Female,Premium,Middle East,Egypt,Books & Media,Books,Thinking Fast and Slow,12.46,4,0.5,40.09
ORD-000019,11/6/2022,2022,11,Q4,Fall,CUST-03859,Male,Regular,North America,USA,Home & Kitchen,Furniture,Bedside Table,563.09,1,0,35.18
ORD-000020,10/8/2023,2023,10,Q4,Fall,CUST-02100,Female,Regular,North America,Mexico,Clothing,Women's Wear,Yoga Pants,110.87,2,0.4,96.59
ORD-000021,3/3/2022,2022,3,Q1,Spring,CUST-01756,Female,Regular,Middle East,Kuwait,Clothing,Women's Wear,Blouse Top,97.84,2,0.15,4.01
ORD-000022,8/15/2021,2021,8,Q3,Summer,CUST-05469,Male,Premium,Asia,Singapore,Home & Kitchen,Appliances,Blender Pro,73.63,6,0.25,6.68
ORD-000023,9/14/2022,2022,9,Q3,Fall,CUST-03897,Female,New,North America,Canada,Clothing,Women's Wear,High-Waist Jeans,23.52,3,0.15,40.46
ORD-000024,11/13/2022,2022,11,Q4,Fall,CUST-01885,Female,Regular,Middle East,Jordan,Clothing,Men's Wear,Slim Fit Jeans,107.55,2,0,28
ORD-000025,6/23/2023,2023,6,Q2,Summer,CUST-07335,Female,Premium,Europe,Italy,Clothing,Men's Wear,Hoodie Sweatshirt,51.71,1,0.05,63.93
ORD-000026,8/13/2024,2024,8,Q3,Summer,CUST-06968,Female,Premium,Middle East,UAE,Beauty & Health,Supplements,Whey Protein 2kg,22.5,4,0.1,13.95
ORD-000027,6/17/2024,2024,6,Q2,Summer,CUST-06441,Female,New,North America,Mexico,Electronics,Tablets,Huawei MatePad 11,330.57,6,0,30.93
ORD-000028,8/3/2023,2023,8,Q3,Summer,CUST-04105,Male,New,Middle East,Kuwait,Electronics,Headphones,JBL Tune 760NC,138.25,6,0.2,25.76
ORD-000029,12/30/2021,2021,12,Q4,Winter,CUST-05187,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,32.95,1,0.2,5.54
ORD-000030,9/17/2021,2021,9,Q3,Fall,CUST-04892,Male,VIP,Europe,Germany,Home & Kitchen,Kitchen Tools,Storage Container Set,60.25,1,0.05,20.73
ORD-000031,2/1/2023,2023,2,Q1,Winter,CUST-01411,Male,Regular,North America,USA,Books & Media,Books,Rich Dad Poor Dad,24.83,1,0.05,3.75
ORD-000032,2/4/2024,2024,2,Q1,Winter,CUST-07880,Female,New,Asia,China,Beauty & Health,Supplements,Multivitamin Pack,54.82,2,0.3,5.6
ORD-000033,10/10/2022,2022,10,Q4,Fall,CUST-04137,Male,Regular,Middle East,Egypt,Clothing,Women's Wear,Maxi Skirt,28.23,2,0.1,7.08
ORD-000034,4/4/2022,2022,4,Q2,Spring,CUST-04907,Male,Premium,Asia,South Korea,Beauty & Health,Supplements,Collagen Peptides,45.29,4,0,17.85
ORD-000035,11/30/2021,2021,11,Q4,Fall,CUST-02045,Male,Premium,Asia,Japan,Beauty & Health,Skincare,Retinol Night Cream,27.55,9,0.2,7.79
ORD-000036,12/15/2023,2023,12,Q4,Winter,CUST-03764,Female,Regular,Middle East,Jordan,Electronics,Smartphones,OnePlus 11,422.13,1,0.25,60.58
ORD-000037,4/1/2021,2021,4,Q2,Spring,CUST-01329,Male,Regular,Middle East,Saudi Arabia,Home & Kitchen,Appliances,Microwave Oven,35.23,4,0.3,16.72
ORD-000038,10/25/2023,2023,10,Q4,Fall,CUST-05963,Male,Regular,Europe,Italy,Books & Media,Books,The Psychology of Money,13.79,3,0.5,88.34
ORD-000039,12/14/2023,2023,12,Q4,Winter,CUST-07965,Male,New,Europe,UK,Books & Media,Books,Deep Work,27.27,1,0.2,23.06
ORD-000040,1/2/2023,2023,1,Q1,Winter,CUST-04551,Female,VIP,Middle East,UAE,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,104.31,1,0,8.58
ORD-000041,3/10/2024,2024,3,Q1,Spring,CUST-03640,Male,Regular,Asia,South Korea,Beauty & Health,Skincare,Hyaluronic Acid,87.24,3,0.1,8.61
ORD-000042,12/4/2022,2022,12,Q4,Winter,CUST-07535,Female,Premium,Asia,Japan,Clothing,Women's Wear,Yoga Pants,98.56,1,0.2,34.63
ORD-000043,11/13/2022,2022,11,Q4,Fall,CUST-04671,Male,Regular,Asia,South Korea,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,84.74,1,0.05,40.72
ORD-000044,11/11/2023,2023,11,Q4,Fall,CUST-03219,Female,Regular,Middle East,Jordan,Beauty & Health,Skincare,Sunscreen SPF50,63.12,3,0.15,67.59
ORD-000045,4/6/2024,2024,4,Q2,Spring,CUST-03426,Male,Premium,Asia,Japan,Clothing,Women's Wear,Summer Dress,116.06,2,0,99.03
ORD-000046,2/27/2022,2022,2,Q1,Winter,CUST-03329,Female,VIP,Europe,Italy,Electronics,Laptops,HP Spectre x360,686.48,3,0,18.09
ORD-000047,12/5/2023,2023,12,Q4,Winter,CUST-02242,Male,New,North America,Canada,Clothing,Men's Wear,Formal Shirt,113.81,2,0.25,2.59
ORD-000048,12/14/2023,2023,12,Q4,Winter,CUST-03435,Female,Regular,Europe,Spain,Clothing,Men's Wear,Chino Pants,95.27,2,0.4,5.6
ORD-000049,6/3/2023,2023,6,Q2,Summer,CUST-01021,Female,VIP,Europe,Germany,Electronics,Smartphones,Samsung Galaxy S23,862.96,2,0.1,36.56
ORD-000050,7/14/2021,2021,7,Q3,Summer,CUST-04482,Male,New,Asia,India,Beauty & Health,Supplements,Whey Protein 2kg,30.05,1,0.1,47.72
ORD-000051,8/5/2021,2021,8,Q3,Summer,CUST-06732,Female,Regular,Middle East,Jordan,Clothing,Women's Wear,High-Waist Jeans,27.43,3,0,12.03
ORD-000052,11/16/2022,2022,11,Q4,Fall,CUST-07848,Male,Regular,Middle East,UAE,Beauty & Health,Supplements,Whey Protein 2kg,53.87,2,0.2,8.43
ORD-000053,5/1/2024,2024,5,Q2,Spring,CUST-03730,Female,Regular,Asia,South Korea,Clothing,Women's Wear,Yoga Pants,104,1,0.1,12.05
ORD-000054,2/22/2023,2023,2,Q1,Winter,CUST-01949,Female,New,North America,Canada,Home & Kitchen,Furniture,TV Stand,229.87,4,0.2,9.72
ORD-000055,8/8/2022,2022,8,Q3,Summer,CUST-03359,Female,VIP,Asia,South Korea,Books & Media,Software,VPN Premium 1Y,32.47,1,0.3,8.05
ORD-000056,10/20/2022,2022,10,Q4,Fall,CUST-06306,Male,VIP,North America,USA,Books & Media,Books,The Psychology of Money,19.32,1,0,11.92
ORD-000057,6/1/2024,2024,6,Q2,Summer,CUST-07113,Male,Regular,Europe,Italy,Books & Media,Software,VPN Premium 1Y,211.99,4,0.25,47.66
ORD-000058,8/31/2023,2023,8,Q3,Summer,CUST-03723,Female,VIP,Asia,China,Home & Kitchen,Kitchen Tools,Cutting Board Set,125.77,5,0.1,6.31
ORD-000059,1/11/2024,2024,1,Q1,Winter,CUST-05057,Male,Regular,Asia,South Korea,Clothing,Footwear,Vans Old Skool,85.03,1,0.2,9.91
ORD-000060,4/12/2024,2024,4,Q2,Spring,CUST-03773,Female,Regular,Europe,Italy,Home & Kitchen,Appliances,Microwave Oven,56.92,2,0.25,22.24
ORD-000061,1/15/2024,2024,1,Q1,Winter,CUST-02863,Male,Premium,North America,Mexico,Books & Media,Software,Antivirus Pro,164.16,6,0.25,8.52
ORD-000062,11/20/2022,2022,11,Q4,Fall,CUST-03000,Female,New,North America,Canada,Electronics,Tablets,Samsung Galaxy Tab S9,809.3,1,0,68.74
ORD-000063,8/7/2022,2022,8,Q3,Summer,CUST-04764,Female,Regular,Europe,Italy,Clothing,Men's Wear,Classic T-Shirt,79,2,0.2,26.97
ORD-000064,1/24/2024,2024,1,Q1,Winter,CUST-02631,Female,VIP,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Storage Container Set,36.33,5,0.25,72.84
ORD-000065,4/12/2021,2021,4,Q2,Spring,CUST-05967,Female,Regular,Asia,Japan,Beauty & Health,Supplements,Collagen Peptides,34.23,2,0.1,13.49
ORD-000066,3/1/2023,2023,3,Q1,Spring,CUST-01273,Female,Regular,Europe,UK,Books & Media,Software,Microsoft Office 365,166.42,1,0.4,9.63
ORD-000067,2/27/2022,2022,2,Q1,Winter,CUST-07755,Female,Regular,Middle East,Kuwait,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,38.71,1,0,91.52
ORD-000068,6/22/2024,2024,6,Q2,Summer,CUST-01114,Female,New,Asia,Singapore,Electronics,Tablets,iPad Pro 12.9,283.72,1,0.05,54.52
ORD-000069,5/30/2023,2023,5,Q2,Spring,CUST-05997,Male,Regular,North America,Mexico,Home & Kitchen,Kitchen Tools,Cutting Board Set,93.92,3,0.5,34.14
ORD-000070,1/7/2023,2023,1,Q1,Winter,CUST-02111,Female,VIP,Middle East,Jordan,Home & Kitchen,Kitchen Tools,Mixing Bowl Set,30.75,8,0,6.46
ORD-000071,7/29/2024,2024,7,Q3,Summer,CUST-01268,Female,Regular,North America,Canada,Books & Media,Software,Photo Editing Suite,190.72,1,0,9.51
ORD-000072,5/12/2023,2023,5,Q2,Spring,CUST-07947,Female,Regular,Middle East,UAE,Clothing,Women's Wear,Summer Dress,147.48,1,0.15,4.21
ORD-000073,10/14/2022,2022,10,Q4,Fall,CUST-03691,Male,New,Europe,UK,Books & Media,Books,Atomic Habits,33.6,1,0.05,37.59
ORD-000074,8/12/2023,2023,8,Q3,Summer,CUST-05823,Female,Regular,North America,USA,Clothing,Men's Wear,Chino Pants,41.32,2,0,10.37
ORD-000075,10/5/2021,2021,10,Q4,Fall,CUST-06038,Male,New,Middle East,Kuwait,Electronics,Laptops,Lenovo ThinkPad X1,1599.56,1,0,11.78
ORD-000076,5/2/2024,2024,5,Q2,Spring,CUST-05983,Male,Regular,Asia,South Korea,Electronics,Smartphones,OnePlus 11,1062.57,1,0.2,18.49
ORD-000077,4/10/2022,2022,4,Q2,Spring,CUST-04523,Female,Regular,Asia,India,Books & Media,Software,VPN Premium 1Y,248.76,2,0.3,17.79
ORD-000078,9/26/2024,2024,9,Q3,Fall,CUST-01549,Male,Regular,Middle East,Egypt,Beauty & Health,Supplements,Multivitamin Pack,62.42,1,0.15,40.6
ORD-000079,9/29/2023,2023,9,Q3,Fall,CUST-07146,Female,Regular,Middle East,UAE,Electronics,Headphones,AirPods Pro,224.73,4,0.4,4.83
ORD-000080,8/19/2022,2022,8,Q3,Summer,CUST-01941,Female,New,Asia,China,Home & Kitchen,Furniture,Office Chair,380.52,3,0.05,10.25
ORD-000081,1/11/2023,2023,1,Q1,Winter,CUST-02173,Female,Regular,Middle East,Egypt,Books & Media,Books,Thinking Fast and Slow,37.87,3,0.1,67.55
ORD-000082,8/31/2023,2023,8,Q3,Summer,CUST-05884,Male,Regular,Europe,France,Electronics,Smartphones,Google Pixel 7,493.62,2,0.2,86.08
ORD-000083,1/3/2022,2022,1,Q1,Winter,CUST-03827,Female,Regular,Asia,South Korea,Books & Media,Books,Atomic Habits,18.16,5,0.5,60.78
ORD-000084,11/23/2022,2022,11,Q4,Fall,CUST-07286,Male,Regular,North America,USA,Books & Media,Software,Photo Editing Suite,173.44,1,0,29.04
ORD-000085,9/4/2021,2021,9,Q3,Fall,CUST-04573,Male,VIP,Europe,Spain,Electronics,Smartphones,OnePlus 11,972.31,2,0,53.6
ORD-000086,10/3/2023,2023,10,Q4,Fall,CUST-07564,Female,Premium,North America,Canada,Books & Media,Software,Photo Editing Suite,113.02,1,0.5,19.49
ORD-000087,5/25/2023,2023,5,Q2,Spring,CUST-01625,Male,New,Middle East,Egypt,Electronics,Laptops,Lenovo ThinkPad X1,1718.86,1,0.3,29.99
ORD-000088,9/9/2023,2023,9,Q3,Fall,CUST-02451,Female,VIP,Europe,Spain,Home & Kitchen,Furniture,Bookshelf 5-Tier,202.86,1,0,42.81
ORD-000089,10/13/2023,2023,10,Q4,Fall,CUST-06172,Female,Regular,Middle East,Saudi Arabia,Books & Media,Software,Photo Editing Suite,167.89,2,0.4,2.55
ORD-000090,6/12/2024,2024,6,Q2,Summer,CUST-06038,Female,VIP,Middle East,Egypt,Home & Kitchen,Kitchen Tools,Non-stick Pan Set,56.91,1,0.25,14.67
ORD-000091,12/15/2022,2022,12,Q4,Winter,CUST-06851,Male,New,Europe,UK,Electronics,Tablets,Huawei MatePad 11,769.25,1,0.15,2.83
ORD-000092,5/25/2024,2024,5,Q2,Spring,CUST-04348,Female,New,Europe,France,Electronics,Laptops,Lenovo ThinkPad X1,2482.87,5,0.3,95.9
ORD-000093,9/13/2022,2022,9,Q3,Fall,CUST-06436,Male,Premium,Middle East,Kuwait,Home & Kitchen,Appliances,Blender Pro,55.52,3,0.5,30
ORD-000094,1/24/2024,2024,1,Q1,Winter,CUST-06292,Female,New,Asia,Japan,Beauty & Health,Skincare,Hyaluronic Acid,66.71,2,0,40.1
ORD-000095,6/8/2023,2023,6,Q2,Summer,CUST-01632,Female,Regular,Asia,China,Home & Kitchen,Furniture,Bookshelf 5-Tier,574.61,1,0.15,50
ORD-000096,1/8/2022,2022,1,Q1,Winter,CUST-06907,Female,Regular,Asia,China,Books & Media,Books,Deep Work,36.29,6,0.4,25.43
ORD-000097,4/22/2024,2024,4,Q2,Spring,CUST-04013,Female,VIP,Europe,France,Clothing,Women's Wear,Yoga Pants,55.61,3,0.25,9.23
ORD-000098,12/13/2022,2022,12,Q4,Winter,CUST-01840,Male,Regular,Middle East,UAE,Beauty & Health,Supplements,Vitamin D3,68.1,1,0.4,8.99
ORD-000099,11/8/2023,2023,11,Q4,Fall,CUST-01436,Female,New,Europe,Italy,Home & Kitchen,Furniture,Study Desk,156.62,6,0.2,96.52
ORD-000100,4/6/2024,2024,4,Q2,Spring,CUST-06702,Male,VIP,Middle East,Saudi Arabia,Beauty & Health,Skincare,Sunscreen SPF50,27.96,4,0.15,21.15
ORD-000101,9/6/2023,2023,9,Q3,Fall,CUST-01391,Male,Premium,Asia,India,Electronics,Smartphones,iPhone 14,530.33,1,0,61.88
ORD-000102,5/7/2022,2022,5,Q2,Spring,CUST-04516,Male,New,North America,Mexico,Beauty & Health,Skincare,Vitamin C Serum,76.94,6,0.25,41.56
ORD-000103,8/10/2023,2023,8,Q3,Summer,CUST-01356,Female,Premium,Middle East,UAE,Books & Media,Software,Microsoft Office 365,172.81,1,0,10.86
